d		、
k		。
q		ゅ
w		た
e		っ
r		て
t		ゃ
y		さ
u		き
i		い
o		し
p		お
a		の
s		と
f		は
g		か
h		な
j		う
l		ん
;		く
z		ょ
x		け
c		に
v		す
b		も
n		ほ
m		る
,		つ
.		こ
/		ひ
:		:
、q	む
、w	ぬ
、e	ゆ
、r	め
、t	へ
、y	ざ
、u	ぎ
、i	ぞ
、o	じ
、p	ぢ
、a	ょう
、s	や
、d	!
、f	よ
、g	ま
、h	ぱ
、j	あ
、k	を
、l	え
、;	ぐ
、z	・
、x	
、c	せ
、v	
、b	ふ
、n	ぼ
、m	ね
、,	づ
、.	ご
、/	ぴ
。q	わ
。w	だ
。e	ぅ
。r	で
。t	ぺ
。y	
。u	み
。i	そ
。o	れ
。p	ち
。a	ぉ
。s	ど
。d	を
。f	ば
。g	が
。h	ら
。j	り
。k	？
。l	です
。;	ゅう
。z	
。x	げ
。c	ぜ
。v	ず
。b	ぷ
。n	ぽ
。m	ろ
。,	ます
。.	ちぇ
。/	ふぉ
てt	ちゃ
てq	ちゅ
てz	ちょ
て、a	ちょう
て。;	ちゅう
っt	ぁ
っq	ぃ
っz	ぇ
たt	てゃ
たq	てゅ
たz	てょ
とt	ぢゃ
とq	ぢゅ
とz	ぢょ
はt	ひゃ
はq	ひゅ
はz	ひょ
は、a	ひょう
は。;	ひゅう
かt	ぴゃ
かq	ぴゅ
かz	ぴょ
か、a	ぴょう
か。;	ぴゅう
にt	にゃ
にq	にゅ
にz	にょ
るt	りゃ
るq	りゅ
るz	りょ
る、a	りょう
る。;	りゅう
きt	きゃ
きq	きゅ
きz	きょ
しt	しゃ
しq	しゅ
しz	しょ
なt	ふぁ
なq	ふぃ
なz	ふぇ
な、a	ふぁん
な。;	ふぃん
うt	ぎゃ
うq	ぎゅ
うz	ぎょ
う、a	ぎょう
う。;	ぎゅう
んt	じゃ
んq	じゅ
んz	じょ
ん、a	じょう
ん。;	じゅう
ひt	ぶ
ひq	び
ひz	べ
すt	びゃ
すq	びゅ
すz	びょ
す、a	びょう
す。;	びゅう
こt	みゃ
こq	みゅ
こz	みょ
こ、a	みょう
こ。;	みゅう
(	（
)	）
[	「
]	」
{	【
}	】
-	ー
:-	〜
:h	←
:j	↓
:k	↑
:l	→
:[	『
:]	』
:d	※
